"Link","Abstract"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143773858&doi=10.1007%2fs42729-022-01070-w&partnerID=40&md5=3b496a1f41052778f927872b9cf0d371","Global population is expected to cross 11 billion by the turn of the century, which has put immense pressure on the existing agricultural systems worldwide. This is complicated by gradually decreasing productivity and acreage as a result of climate change in addition to ever-increasing input costs of resource hungry staple crops like rice, wheat, and maize. Unfortunately, the most affected by these events are those who have the least resources at their disposal to mitigate the issue, especially in countries of Asia and Sub-Saharan Africa. It is therefore pertinent to explore and adopt alternative and/or complementary crops that are easier to cultivate, climate change tolerant, less resource hungry, nutritionally richer for human consumption, and agriculturally sustainable. Millets are perfect cereal crops which meet all of these requirements and can realistically provide much-needed solutions to current global food and nutritional security challenges. In this review, we provide a bird’s eye view of the relevance of millets in global agro-ecosystems in the context of their nutritional and agronomic attributes. Furthermore, we share perspectives on the major areas of crop improvement programs worldwide and discuss major challenges confronting the same. Finally, we discourse on the scope of millets for wider acceptability and highlight major points at the interface of genetic intervention–crop management post-harvest practices worth considering to potentially facilitate robust millet-based nutritional and food security. © 2022, The Author(s) under exclusive licence to Sociedad Chilena de la Ciencia del Suelo."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119958181&doi=10.1007%2fs11053-021-09981-8&partnerID=40&md5=db4b2db25ffa8969b69a2f18563045a4","The advancement of irrigated agriculture is indispensable to satisfy the growing food demands of the escalating worldwide population. It is also essential for accomplishing many of the UN’s sustainable development goals (SDG) such as SDG1 (no poverty), SDG2 (zero hunger), SDG3 (good health and well-being), and SDG15 (life on land). However, without proper management, irrigation development can cause twin hydrological problems, i.e., rising groundwater level and salinization in irrigated regions. Long-term groundwater recharge estimation is essential for managing the above-mentioned problems of irrigated regions. This study formulated and employed a simple groundwater recharge model, which is a combination of the groundwater budget and seasonal groundwater level fluctuations. Estimated long-term (44 years, from 1976 to 2020) seasonal groundwater recharge was analyzed to appraise the twin hydrological problems of a study area in northwest India. The investigation is the first in the study region; it is simple to follow and it can be replicated in other regions of the world dealing with comparative issues. The analysis disclosed that the developed model performed very well in estimating groundwater recharge. This was verified statistically by high R-squared (0.987) and model efficiency (0.940) values and low mean error (0.011 m) and root-mean-square error (0.089 m) values. Analysis of various components of groundwater recharge revealed that more than 60% of the mean monsoonal recharge was provided by percolation alone due to the high paddy field portion. Higher average seasonal tubewell draft in the winter season always resulted in negative net recharge. However, yearly net recharge was consistently positive on account of higher monsoonal recharge. Consequently, the aquifer level rose at a mean rate of about 0.12 m annually throughout the study period. Because the groundwater level was already high, an additional rise would worsen the condition. Alternative management plans must be developed and realized for sustainable resource management in the region. As a follow-up action, three possible scenarios were investigated by using the model. The analysis of the scenarios disclosed that conjunctive water utilization needed to be increased for crop irrigation, which aids more groundwater withdrawal from the area. The other scenario suggested altered cropping with the reduced paddy cultivation because the paddy field contributed un-proportionately high recharge in the overall water balance of the region. The analysis suggested that implementing a combination of more than one change altogether would be more beneficial as compared to individual changes in baseline inputs. For example, altered cropping along with conjunctive water utilization would deliver more favorable results. The strategies described here are reliable in encouraging stakeholders/farmers to realize long-term sustainable goals. © 2021, International Association for Mathematical Geosciences."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146887902&doi=10.3389%2ffphy.2022.1060182&partnerID=40&md5=63f8769a14e5e7411ad5226d181683cb","The 2030 Agenda framework represents an opportunity for the co-development of local indicators and shares the same principles of cross-sectoral integration and universality as the water–energy–food nexus. This research aimed to develop a quantitative-collaborative methodology for constructing indicators and indexes for the sustainability of the Cerrado and Caatinga Brazilian biomes, considering the connection and synergies between the Nexus perspective and the 2030 Agenda’s SDG–target framework. The study was applied in 2,512 municipalities that make up the total of the mentioned biomes. The methodology consists of four major blocks: i) identification and construction of indicators based on the association of them with one or more 2030 Agenda’s targets, in a collaborative way from expert groups; ii) generation of weights by an indicator considering leverage, according to the number of target assignments, and importance, attributed by experts for each indicator to the target; iii) generation of sustainable development goal indexes, considering the performance of the SDGs; Nexus performance, considering different weights between the SDGs; Nexus synergistic, the standard deviation between the SDGs; and Nexus overall, a combination of the last two; and iv) sensitivity analysis for performance indexes considering the assignment of zero values to the governance indicators. In general, the regions of MATOPIBA, northern and western of Cerrado and the Caatinga, are, on average, the areas of greatest vulnerability. The targets that respond to this inequality are related to eradicating hunger, sustainable and climate-resilient production systems, universal access to water, water quality, efficiency of multiple water uses, access to energy, and the participation of renewable energies. We found that in areas of better average nexus performance, there is also greater inequality between nexus dimensions; therefore, the Nexus overall index is penalized. The federal units and areas with the worst Nexus dimension performances and with insufficient governance measures are north and northwest of Bahia and municipalities bordering the State of Tocantins—food; Maranhão and Piauí, northeast of Mato Grosso, northwest of Goiás, Rio Grande do Norte and Paraíba—water; and Maranhão, extreme southeast of Pará, and more sparsely in Paraíba—energy. Copyright © 2023 Arcoverde, Menezes, Paz, Barros, Guidolini, Branco, De Andrade, Pulice and Ometto."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102505021&doi=10.3390%2fsu13052619&partnerID=40&md5=aa1bcbbc6129119e41207aea54ef5a0d","To achieve the United Nations Sustainable Goals (SDGs) by 2030, especially goal 2 (SDG-2) which is to “end hunger, achieve sustainable food security, improved nutrition and promote agricul-ture” this study examines how innovation and social inclusion affect food security in West Africa. The study applies the system Generalised Method of Moments (GMM) on a panel data of 15 West African countries for the period 2005–2018. The result from system GMM shows that innovation and social inclusion are drivers of food security. The implication of this is that increased level of social inclusion and innovation in West African may increase the level of food security by about 41.5% and 13.6% respectively. Therefore, the study concludes that to feed the growing African population, social inclusion should be improved to mitigate risk, vulnerability and socioeconomic shocks faced by farming households. In addition, innovation in agricultural should be enhanced to drive productivity, thereby leading to a sustainable food security. © 2021 by the authors. Licensee MDPI, Basel, Switzer-land."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136932998&doi=10.4018%2f978-1-6684-4548-8.ch008&partnerID=40&md5=fa5cda1ffa863311dfc28f26dfb9d944","Food crisis and hunger issues will challenge many countries due to the effects of climate change and global warming. When considering the truth that the Mediterranean Basin is the region that has been challenged by climate change and invasive alien species much more than others in the world, food insecurity is the most critical issue. As achieving food security, Mediterranean countries should keep the balance between the population and food sources in the related region. Accordingly, determining indicators and variables guiding policy makers to develop sustainable strategies for food security will be important cases for researchers. This study aims to review the sustainability level of the agricultural food market among Mediterranean countries. It is thought to give a holistic view for agricultural food markets in the Mediterranean Basin. This study focuses on examining some selected indicators for agricultural food markets among Mediterranean countries by showing recent descriptive statistics for agricultural products as crops and cereals. © 2022, IGI Global. All rights reserved."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141982045&doi=10.3389%2ffsufs.2022.1009020&partnerID=40&md5=c810bca847d9e6aa50a1195b7cb98d54","This perspective article highlights the need for transformation in food and farming at three scales to promote a food system that meets UN Sustainable Development Goals. Food insecurity is still a persistent problem globally because of how food and farming sector is currently organized vs. how it should be organized if cultural traditions, environmental concerns, and nutritional needs of the world's growing population were foregrounded. The article argues that system-wide transformations are needed at different scales: landscape (macro), species (meso) and genes (micro). It suggests alternatives available for food and farming sector and identifies transformative pathways that are more sustainable in cultural, social and environmental terms. A better management of farming landscapes; diversification of the food system to include a wider range of species; and better use of neglected and underutilized species, varieties and cultivars of plants, and breeds of animals, in the food system can help to catalyze such a transformation. This can go a long way in promoting global sustainability by achieving three key UN Sustainable Development Goals: 2 (Zero Hunger), 3 (Good Health and Wellbeing) and 15 (Life on Land). Copyright © 2022 Bhagwat."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140292220&doi=10.52091%2fEVIK-2021%2f4-1-ENG&partnerID=40&md5=2e928f5b67a6c207efaea39267f60b55","By 2050, 9.8 billion people are projected to live on Earth, which means that we need to double our current food production to keep pace with such a large population increase. In addition, rising greenhouse gas emissions and the associated climate change are placing a significant strain on the planet’s ability to sustain itself. However, in order to increase the quantity of proteins of plant origin, it is necessary to increase crop production areas, harvesting frequencies and the quantity of crops produced. Unfortunately, the optimization of these factors is already very close to the available maximum in the current situation. The developed cultivation systems and maximum utilization of the soil power leads to very serious environmental problems, soil destruction, loss of biodiversity and serious environmental pollution through the transport of the produced plant raw materials. This poses a serious challenge to food security and further increases the risk of hunger. There is therefore a need for agricultural practices that can lead to the cultivation of food and feed crops that have better sustainability indicators and are more resilient to climate change, which can be used to safely produce health-promoting feeds, as well as novel and value-added foods. Within this group, a particular problem is presented by the protein supply of the population, as currently about one billion people do not have adequate protein intake. However, conventional protein sources are not sufficient to meet growing protein needs. As mentioned above, food and feed proteins are based on plant proteins. In recent years, a prominent role has been played by the research into alternative proteins and the mapping of their positive and negative properties. Among alternative proteins, special attention has been paid to various yeasts, fungi, bacteria, algae, singe cell proteins (SCPs) and insects. In this paper, we focus on the presentation of algae, particularly microalgae, which are of paramount importance not only because of their significant protein content and favorable amino acid composition, but also because they are also sources of many valuable molecules, such as polyunsaturated fatty acids, pigments, antioxidants, drugs and other biologically active compounds. It is important to learn about microalgae biomass in order to be able to develop innovative health food products. © 2021, Wessling International Research and Educational Centre Nonprofit Beneficial Ltd.. All rights reserved."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114112469&doi=10.3390%2fh10010048&partnerID=40&md5=50f94a46f451384ad1dd58d9487c1f73","Urban agriculture is often advanced as a sustainable solution to feed a growing urban population, offering a number of benefits: improved fresh food access, CO2 absorption, social justice and social cohesion among others. Going beyond these direct tangible/objective benefits from urban agriculture, in this paper we ask: How can growing food in the cities teach us about taking care of each other and the natural environment? We use the example of urban food autonomy movements to discuss the transformative potential of a grassroots-led initiative promoting permaculture, which is anchored in three “ethics”: care for the earth, care for the people, and fair share. Through examining the philosophical underpinnings of “autonomy” and “care”, we explore how urban food autonomy initiatives can enable the development of an ethics of care, especially using permaculture inspirations. Our theoretical review and case analysis reveal that “autonomy” can never be achieved without “care” and that these are co-dependent outcomes. The urban food autonomy initiatives are directly relevant for the achievement of the three of the UN’s 17 Sustainable Development Goals: “Zero Hunger,” “Life on Land” and “Climate Action”, and contribute to a culture of care. Indeed, urban agriculture can act as a powerful education platform for the engagement of diverse stakeholders while also supporting a collective transformation of values. © 2021 by the author."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142143502&doi=10.1080%2f14620316.2022.2141666&partnerID=40&md5=9f5fbc84dc9826725f3d68bd98980553","Global food security has been significantly threatened by the Covid-19 pandemic and several prolonged challenges such as climate change, population increases, shortage of natural resources, energy crisis, and rapid urbanisation worldwide. Although numerous attempts have been made to secure resilience in the food system, many countries are suffering from hunger and malnutrition, particularly in African and some Asian countries. This review paper presents one of the sustainable farming practices–vertical farming that could play a key role in mitigating global food security in the current uncertain world. It addresses the recent development of vertical farming with advanced precision monitoring and controlling system by the Internet of Things (IoT) applications. It also provides information about the opportunities and challenges of vertical-urban agriculture and how urban agriculture meets economic, social and educational needs. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135401601&doi=10.1007%2f978-3-030-98617-9_17&partnerID=40&md5=c51198011577bb19f350773582004629","The development for sustainable smallholder farming is not a transparent and replicable procedure because the agricultural sector focuses primarily on productivity with minimum attention on lean management as a sustainability strategy. Currently, the requirement of achieving a 70% increase in production often ignores the complementary factor of reducing wastage and loss to achieve sustainable food security and nutrition. This paper examines integrating lean management concepts in smallholder farming as a catalyst for sustainable agriculture, food, and nutrition security. Several sources indicate that approximately 500 million smallholder farms worldwide cultivate on under 2 ha farm size without adequate land tenure. These farms are primarily in difficult soil conditions and environmentally risk-prone areas, reducing their resilience to changes in weather conditions. Although smallholders comprise 84% of all farms with approximately 30% of global food production, the participants and their dependents constitute almost 75% of the underprivileged, hungry, and undernourished people worldwide. These conditions are exacerbated by smallholder farms experiencing more post-harvest loss due to inadequate market and access to cold storage facilities. Additionally, smallholders have limited adaptive capacity in coping with changing environments due to inadequate scientific knowledge, low income, small farm size, limited technical assistance, and marketing opportunities. Despite these challenges, smallholders are touted as potentially the backbone to implement the United Nations’ Goal #2 for Sustainable Development in achieving zero-hunger by at least 2030. This research presents Ro-Crops Agrotec, a 1.5-ha agroecology family farm in central Trinidad, as a case study with over 26 years of successfully integrating strategic lean management. The management of Ro-Crops demonstrates that sustainable agriculture and food security are achievable through strategic planning, farm management, and innovative waste removal without the measures becoming an obsession. While lean management is associated initially with auto manufacturing, the concept is equally essential in agriculture due to losses in production, post-harvest, and food processing. At the retailing and consumer stages, the annual global wastage consists of almost one-third of consumer food, estimated at approximately 1.3 billion tons. Lean management reduces waste, maximizes efficiency, and increases economic value due to productivity, quality, and flexibility as the primary performance indicators. The lean concepts help in effectively reducing wastage by developing standardised processes and continuously improving the operations. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
